Station,Latitude_in_deg_final,Longitude_in_deg_final,UTM_easting_in_meters_final,UTM_northing_in_meters_final,Height_above_WGS84_ellipsoid_in_meters_final,Height_above_unkown_geoid_in_meters_final,Start_Date,Start_Time,Stop_Date,Stop_Time,Orientation_from_true_North,Notes
N079,39.80688809,-119.00121450,328690.344,4408239.770,1249.572,1273.988,2016-03-09,00:38:19.538,2016-03-26,17:43:50.538,000,
N080,39.80736016,-119.00082210,328725.109,4408291.418,1249.786,1274.201,2016-03-09,00:48:47.662,2016-03-26,18:32:48.662,356,
N081,39.80776440,-119.00040050,328762.205,4408335.481,1250.375,1274.789,2016-03-09,01:05:39.756,2016-03-26,18:33:40.756,000,
N082,39.80824158,-119.00000070,328797.615,4408387.683,1251.076,1275.488,,,,,358,No data retrieved
N083,39.80882253,-118.99951800,328840.379,4408451.244,1251.544,1275.955,2016-03-09,01:30:45.572,2016-03-26,20:26:46.572,356,
N084,39.80929125,-118.99899610,328886.220,4408502.272,1252.939,1277.349,2016-03-10,18:08:33.734,2016-03-26,20:28:34.734,359,
N085,39.80980343,-118.99859210,328922.075,4408558.351,1253.855,1278.264,2016-03-10,18:18:35.524,2016-03-26,21:03:06.524,000,
N086,39.81023360,-118.99818640,328957.872,4408605.324,1254.955,1279.362,2016-03-10,18:27:37.802,2016-03-26,21:04:38.802,002,Instal: mis-identified site in HHT?? Or 85? Stopped and restarted
N087,39.81074040,-118.99759740,329009.550,4408660.452,1256.263,1280.669,2016-03-10,18:36:13.880,2016-03-26,21:06:44.880,347,
N088,39.80114907,-119.00705460,328176.087,4407613.946,1235.266,1259.697,2016-03-11,01:23:25.182,2016-03-26,16:37:26.182,353,3/22: Cone placed 03:22:19:29
N089,39.80165671,-119.00662580,328214.063,4407669.470,1236.712,1261.143,2016-03-07,21:27:01.324,2016-03-26,16:36:32.324,002,3/22: Cone placed 21:53
N090,39.80215003,-119.00616400,328254.828,4407723.342,1237.700,1262.129,2016-03-07,21:38:54.028,2016-03-26,16:54:25.028,358,Install: 4 slow blinks then OK
N091,39.80261699,-119.00568540,328296.965,4407774.255,1238.524,1262.952,2016-03-07,21:53:11.682,2016-03-26,16:43:42.682,000,
N092,39.80311497,-119.00525030,328335.455,4407828.695,1240.086,1264.513,2016-03-07,22:08:08.198,2016-03-26,16:54:39.198,353,
N093,39.80360391,-119.00478630,328376.396,4407882.077,1240.978,1265.403,2016-03-07,22:31:59.952,2016-03-26,17:19:00.952,348,
N094,39.80416593,-119.00445300,328406.329,4407943.821,1241.441,1265.865,2016-03-08,17:20:13.506,2016-03-26,17:18:44.506,346,
N095,39.80449197,-119.00363850,328476.871,4407978.449,1243.950,1268.373,2016-03-08,17:42:57.932,2016-03-26,17:19:28.932,006,"Instal: HHT thought this was site 78,manual override possibly succesful"
N096,39.80502518,-119.00329580,328507.535,4408036.978,1245.118,1269.540,2016-03-08,17:54:57.994,2016-03-26,17:18:28.994,354,
N097,39.80552507,-119.00306660,328528.400,4408092.025,1244.894,1269.314,2016-03-08,18:05:13.796,2016-03-26,17:16:14.796,353,
N098,39.80576338,-119.00236250,328589.270,4408117.128,1248.186,1272.606,2016-03-10,21:36:39.624,2016-03-26,17:15:10.624,000,"3/23: Long term cone,removed 03:23:22:20"
N099,39.80650960,-119.00201480,328620.891,4408199.291,1249.572,1273.989,2016-03-10,21:46:07.146,2016-03-26,17:43:38.146,001,
N100,39.80708942,-119.00157300,328660.153,4408262.805,1249.203,1273.619,2016-03-10,21:53:08.006,2016-03-26,17:43:09.006,008,
N101,39.80750886,-119.00141830,328674.439,4408309.066,1249.107,1273.521,2016-03-10,21:57:15.772,2016-03-26,18:33:16.772,000,
N102,39.80777565,-119.00091620,328718.085,4408337.717,1249.561,1273.975,2016-03-10,20:01:43.928,2016-03-26,18:32:14.928,354,
N103,39.80842155,-119.00028210,328773.972,4408408.198,1250.473,1274.885,2016-03-09,01:17:38.022,2016-03-26,18:33:39.022,000,No data 03/10 19:48:30-19:55:03
N104,39.80910216,-118.99968910,328826.426,4408482.610,1252.636,1277.046,2016-03-10,19:46:54.046,2016-03-26,20:28:55.046,000,
N105,39.80948246,-118.99935610,328855.876,4408524.185,1252.292,1276.701,2016-03-10,19:39:11.246,2016-03-26,20:27:12.246,000,
N106,39.81006986,-118.99881450,328903.697,4408588.350,1253.813,1278.221,2016-03-10,19:23:27.502,2016-03-26,21:04:28.502,004,
N107,39.81044195,-118.99848670,328932.682,4408629.025,1254.502,1278.909,2016-03-10,19:30:25.128,2016-03-26,21:03:56.128,001,
N108,39.81094528,-118.99813530,328964.011,4408684.222,1255.162,1279.567,2016-03-10,18:44:30.034,2016-03-26,21:04:31.034,003,
N109,39.79996330,-119.00889960,328015.169,4407485.872,1228.907,1253.342,2016-03-10,01:17:13.514,2016-03-26,16:36:44.514,357,
N110,39.80046158,-119.00844230,328055.564,4407540.302,1230.238,1254.672,2016-03-10,01:09:07.684,2016-03-26,16:37:08.684,004,
N111,39.80099055,-119.00794510,328099.450,4407598.061,1232.489,1256.921,2016-03-09,23:32:57.776,2016-03-26,16:37:28.776,357,
N112,39.80140385,-119.00739530,328147.552,4407642.881,1234.252,1258.683,2016-03-09,23:44:46.078,2016-03-26,16:36:17.078,005,
N113,39.80244796,-119.00662820,328215.827,4407757.303,1236.506,1260.935,2016-03-09,23:54:31.378,2016-03-26,16:44:32.378,346,
N114,39.80340542,-119.00573200,328294.938,4407861.859,1238.446,1262.872,2016-03-10,00:06:39.920,2016-03-26,16:43:10.920,000,
