Channel,X,Y,Z
number,UTM [m],UTM [m],UTM [m]
412,328040.07,4407527.25,1230.345
413,328040.68,4407528.04,1230.322
414,328041.3,4407528.83,1230.297
415,328041.91,4407529.61,1230.273
416,328042.53,4407530.4,1230.248
417,328043.15,4407531.18,1230.224
418,328043.76,4407531.97,1230.201
419,328044.38,4407532.76,1230.178
420,328044.99,4407533.55,1230.155
421,328045.61,4407534.33,1230.224
422,328046.23,4407535.12,1230.374
423,328046.84,4407535.91,1230.524
424,328047.46,4407536.69,1230.674
425,328048.08,4407537.48,1230.825
426,328048.69,4407538.26,1230.975
427,328049.31,4407539.05,1231.126
428,328049.92,4407539.84,1231.276
429,328050.54,4407540.62,1231.426
430,328051.16,4407541.41,1231.577
431,328050.69,4407542.05,1231.546
432,328049.87,4407542.64,1231.519
433,328049.05,4407543.23,1231.493
434,328048.23,4407543.82,1231.467
435,328047.41,4407544.41,1231.441
436,328046.58,4407545,1231.415
437,328045.76,4407545.59,1231.389
438,328044.94,4407546.18,1231.363
439,328044.12,4407546.77,1231.337
440,328043.3,4407547.36,1231.311
441,328042.47,4407547.95,1231.285
442,328041.65,4407548.54,1231.26
443,328040.83,4407549.13,1231.246
444,328040.01,4407549.72,1231.238
445,328039.19,4407550.31,1231.232
446,328038.36,4407550.9,1231.228
447,328037.54,4407551.49,1231.225
448,328036.72,4407552.08,1231.22
449,328035.9,4407552.67,1231.213
450,328035.08,4407553.26,1231.204
451,328034.25,4407553.85,1231.194
452,328033.43,4407554.44,1231.183
453,328032.61,4407555.03,1231.172
454,328031.79,4407555.62,1231.159
455,328030.97,4407556.21,1231.146
456,328030.15,4407556.8,1231.132
457,328029.32,4407557.39,1231.117
458,328028.5,4407557.98,1231.102
459,328027.68,4407558.57,1231.085
460,328026.86,4407559.16,1231.066
461,328026.04,4407559.75,1231.045
462,328025.21,4407560.34,1231.023
463,328024.39,4407560.93,1230.999
464,328023.57,4407561.52,1230.973
465,328022.75,4407562.11,1230.948
466,328021.93,4407562.7,1230.922
467,328021.1,4407563.29,1230.895
468,328020.28,4407563.88,1230.869
469,328019.46,4407564.47,1230.843
470,328018.64,4407565.06,1230.816
471,328017.82,4407565.64,1230.79
472,328016.99,4407566.24,1230.763
473,328016.17,4407566.83,1230.737
474,328015.35,4407567.42,1230.71
475,328014.53,4407568.01,1230.684
476,328013.71,4407568.59,1230.657
477,328012.88,4407569.18,1230.631
478,328012.06,4407569.77,1230.604
479,328011.24,4407570.36,1230.576
480,328010.42,4407570.95,1230.549
481,328009.6,4407571.54,1230.521
482,328008.78,4407572.13,1230.492
483,328007.95,4407572.72,1230.464
484,328007.13,4407573.31,1230.435
485,328006.31,4407573.9,1230.406
486,328005.49,4407574.49,1230.377
487,328004.67,4407575.08,1230.348
488,328003.84,4407575.67,1230.32
489,328003.02,4407576.26,1230.291
490,328002.2,4407576.85,1230.261
491,328001.38,4407577.44,1230.232
492,328000.56,4407578.03,1230.203
493,327999.73,4407578.62,1230.172
494,327998.91,4407579.21,1230.141
495,327998.09,4407579.8,1230.108
496,327997.27,4407580.39,1230.073
497,327996.45,4407580.98,1230.038
498,327995.62,4407581.57,1230.001
499,327994.8,4407582.16,1229.962
500,327993.98,4407582.75,1229.923
